,ID,Heading,Config,Cosine
33,0,Config-34,SLES15.1|DL380 Gen9 |P840|,0.37499999999999994
11,0,Config-12,Rhel8|DL380 Gen9 |P840ar|,0.37499999999999994
34,0,Config-35,SLES15.1|DL380 Gen9 |P441|,0.37499999999999994
31,0,Config-32,SLES15.1|DL380 Gen9 |P840ar|,0.37499999999999994
14,0,Config-15,Rhel8|DL380 Gen9 |P441|,0.37499999999999994
12,0,Config-13,Rhel8|DL380 Gen9 |P440|,0.37499999999999994
13,0,Config-14,Rhel8|DL380 Gen9 |P840|,0.37499999999999994
32,0,Config-33,SLES15.1|DL380 Gen9 |P440|,0.37499999999999994
7,0,Config-8,Rhel8|DL360 Gen9 |P440|,0.24999999999999994
2,0,Config-3,Rhel8|BL460c Gen9 |P440|,0.24999999999999994
24,0,Config-25,SLES15.1|BL460c Gen9 |P441|,0.24999999999999994
23,0,Config-24,SLES15.1|BL460c Gen9 |P840|,0.24999999999999994
22,0,Config-23,SLES15.1|BL460c Gen9 |P440|,0.24999999999999994
21,0,Config-22,SLES15.1|BL460c Gen9 |P840ar|,0.24999999999999994
1,0,Config-2,Rhel8|BL460c Gen9 |P840ar|,0.24999999999999994
28,0,Config-29,SLES15.1|DL360 Gen9 |P840|,0.24999999999999994
29,0,Config-30,SLES15.1|DL360 Gen9 |P441|,0.24999999999999994
30,0,Config-31,SLES15.1|DL380 Gen9 |B140i|,0.24999999999999994
8,0,Config-9,Rhel8|DL360 Gen9 |P840|,0.24999999999999994
3,0,Config-4,Rhel8|BL460c Gen9 |P840|,0.24999999999999994
4,0,Config-5,Rhel8|BL460c Gen9 |P441|,0.24999999999999994
26,0,Config-27,SLES15.1|DL360 Gen9 |P840ar|,0.24999999999999994
6,0,Config-7,Rhel8|DL360 Gen9 |P840ar|,0.24999999999999994
10,0,Config-11,Rhel8|DL380 Gen9 |B140i|,0.24999999999999994
9,0,Config-10,Rhel8|DL360 Gen9 |P441|,0.24999999999999994
27,0,Config-28,SLES15.1|DL360 Gen9 |P440|,0.24999999999999994
39,0,Config-40,SLES15.1|Synergy 480 Gen9 |P441|,0.2357022603955158
36,0,Config-37,SLES15.1|Synergy 480 Gen9 |P840ar|,0.2357022603955158
19,0,Config-20,Rhel8|Synergy 480 Gen9 |P441|,0.2357022603955158
18,0,Config-19,Rhel8|Synergy 480 Gen9 |P840|,0.2357022603955158
16,0,Config-17,Rhel8|Synergy 480 Gen9 |P840ar|,0.2357022603955158
37,0,Config-38,SLES15.1|Synergy 480 Gen9 |P440|,0.2357022603955158
38,0,Config-39,SLES15.1|Synergy 480 Gen9 |P840|,0.2357022603955158
17,0,Config-18,Rhel8|Synergy 480 Gen9 |P440|,0.2357022603955158
0,0,Config-1,Rhel8|BL460c Gen9 |B140i|,0.12499999999999997
25,0,Config-26,SLES15.1|DL360 Gen9 |B140i|,0.12499999999999997
5,0,Config-6,Rhel8|DL360 Gen9 |B140i|,0.12499999999999997
20,0,Config-21,SLES15.1|BL460c Gen9 |B140i|,0.12499999999999997
35,0,Config-36,SLES15.1|Synergy 480 Gen9 |B140i|,0.1178511301977579
15,0,Config-16,Rhel8|Synergy 480 Gen9 |B140i|,0.1178511301977579
