ID,TEST_ID,TestCase,TYPE,PROJECT,EXEC_TYPE,TEST_STATUS
1,3009,STORAGE - Hazard C8 (24 Hours),1,1,1,1
2,616,STORAGE - Physical Drive Failure in a Raid Array,1,1,1,1
3,916,STORAGE - Smart Array - 2TB+ LUN Support,1,1,1,1
4,1093,STORAGE - Smart Array - Array Expansion,1,1,1,1
6,524,STORAGE - Smart Array - Fail a logical drive(s),1,1,1,1
7,521,STORAGE - Smart Array - Multiple Spare Functionality,1,1,1,1
8,1082,STORAGE - Smart Array - RAID 60 Rebuild,1,1,1,1
9,1092,STORAGE - Smart Array - Stripe Size Migration,1,1,1,1
10,274,STORAGE + DotHill - Create all supported Array types without spares,1,1,1,1
11,1105,STORAGE + DotHill - Dynamic Spare Functionality,1,1,1,1
12,1113,STORAGE + DotHill - Expand RAID 5,1,1,1,1
13,1115,STORAGE + DotHill - Expand RAID 6,1,1,1,1
14,1104,STORAGE + DotHill - Local Spare Functionality,1,1,1,1
15,275,STORAGE + DotHill - Map Volumes to Servers,1,1,1,1
16,1073,STORAGE + DotHill - Review Events,1,1,1,1
17,129,STORAGE + DotHill - Test Global Spares Functionality,1,1,1,1
18,1106,STORAGE + DotHill - Verify Volume Copy Functionality,1,1,1,1
19,3850,STORAGE - Active Health System Log - Basic Storage Data Check,1,1,2,1
20,27889,STORAGE - Enhanced Reboot- Cold Boot,1,1,2,1
21,319,STORAGE - IO Stress (24 Hours),1,1,2,1
22,23284,STORAGE - OS Continuous Reboot,1,1,2,1
23,137,STORAGE - OS Installation,1,1,2,1
25,21859,STORAGE - RPI Verification,1,1,2,1
26,519,STORAGE - RPM Upgrade from DUD installation,1,1,2,1
27,625,STORAGE - SAS-SATA Disk Drive LED Functionality,1,1,2,1
28,915,STORAGE - Slot & Bus Compatibility,1,1,2,1
29,23307,STORAGE - Smart Array - Encryption Rekey,1,1,2,1
30,23285,STORAGE - Smart Array - Flashback Cache Retention,1,1,2,1
31,1079,STORAGE - Smart Array - Rebuild RAID 5,1,1,2,1
32,2318,STORAGE - Smart Component flash,1,1,2,1
33,23375,STORAGE - Split Mirror and Re-Mirror,1,1,2,1
35,1475,STORAGE - Fail-Repair a Active Storage Path,1,1,2,1
36,2970,STORAGE - Fail-Repair Active Controller - (SAS Dual Domain),1,1,2,1
37,1443,STORAGE - JBOD - Fan+PS Redundancy test,1,1,2,0
38,23612,STORAGE - JBOD SC - Dual Domain,1,1,2,1
39,23609,STORAGE - JBOD SC - Online SPP,1,1,2,1
40,604,STORAGE - Smart Array - Enclosure & Slot Identification,1,1,2,1
41,84,Hyper-V - Create Virtual Machine,1,1,2,1
42,3306,STORAGE - HBA - OS Software RAID Drive Failure and Rebuild,1,1,2,1
43,3882,STORAGE - HBA - Physical Drive Failure,1,1,2,1
44,1443,STORAGE - JBOD - Fan+PS Redundancy test,1,1,2,1
45,1824,STORAGE - JBOD- Smart component,1,1,2,1
46,24254,STORAGE - Smart Array - HBA-RAID Mode Switching,1,1,2,1
47,2487,ESXi - Create VM on Local Disk,1,1,2,1
48,3742,STORAGE - Agents - ESXi - CIM Provider - SMX SmartArray,1,1,2,1
49,2181,STORAGE - ESX - Drive Failure & Notifications,1,1,2,1
50,1081,STORAGE - Smart Array - RAID 50 Rebuild,1,1,1,1
51,1078,STORAGE - Smart Array - Rebuild Raid 1(1+0),1,1,1,1
52,1080,STORAGE - Smart Array - Rebuild RAID 6(ADG),1,1,1,1
53,27890,STORAGE - IO Stress (72 Hours),1,1,1,1
54,28459,STORAGE - SAS-SATA Disk Drive LED Functionality - ESXi,1,1,2,1
55,3699,STORAGE - Hazard C8 (96 Hours),1,1,2,1
56,23828,STORAGE - Greater than 2TB Partition OS Installation,1,1,2,1
57,2597,STORAGE - JBOD - Hot Add to a switch,1,1,2,1
58,3312,STORAGE - SSD Gas Gauge,1,1,2,1
59,24257,STORAGE - SSD Smart Cache - Fail Write-Back Cache LUN,1,1,2,1
60,24256,STORAGE - SSD Smart Cache - Switching Write Modes,1,1,2,1
61,23611,STORAGE - JBOD SC - Single Domain,1,1,2,1
62,26410,STORAGE - Agentless Management Data (iLO),1,1,2,1
63,2868,STORAGE - JBOD - Drive Drawer Extension With IO,1,1,2,1
64,1444,STORAGE - SAS switch - Fail and Repair Active SAS switch,1,1,2,1
65,22194,STORAGE - Smart Array - SAS-SATA Stripe Size Migration,1,1,2,1
66,24258,STORAGE - SSD Smart Cache - Rebuild Write-Back Cache LUN,1,1,2,1
67,24259,STORAGE - SSD Smart Cache - Supported Physical Migration,1,1,2,1
68,24260,STORAGE - SSD Smart Cache - Unsupported Physical Migration,1,1,2,1
69,887,STORAGE - Device Driver upgrading (Windows only),1,1,2,1
70,618,STORAGE - Driver Verifier (Windows only),1,1,2,1
